Data;Onda_Hs_m;Onda_Tp_s;Onda_Dir_graus;Vento_U_m_s;Vento_V_m_s;Vento_Vel_10m_m_s;Vento_Dir_graus;Corr_U_m_s;Corr_V_m_s;Corr_Vel_m_s;Corr_Dir_graus;Heave_Max_m;Pitch_Max_graus;Roll_Max_graus;Status_ULS;Motivo_ULS;Status_SLS_Geral;Motivo_SLS;SLS_Guindaste;SLS_Helicoptero;SLS_Barco_Apoio;SLS_ROV;SLS_Offloading;SLS_Planta
2015-01-01;1.28;7.86;64.4;-0.81;-4.9;4.97;260.6;-0.02;-0.13;0.13;260.5;0.05;0.04;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-02;1.33;8.14;67.4;0.8;-3.4;3.49;283.2;-0.01;-0.06;0.06;263.4;0.06;0.04;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-03;1.36;7.74;136.6;-0.98;4.41;4.52;102.6;-0.14;0.01;0.14;175.9;0.05;0.01;0.18;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-04;1.99;11.86;190.3;-2.91;0.65;2.98;167.5;-0.05;-0.01;0.05;194.4;0.41;0.11;0.13;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-05;1.92;12.08;189.8;-4.29;0.77;4.36;169.8;-0.07;-0.04;0.08;208.2;0.41;0.11;0.14;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-06;1.77;10.83;147.3;-5.42;-2.89;6.14;208.0;-0.07;-0.12;0.14;240.9;0.3;0.06;0.32;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-07;1.62;8.37;93.8;-4.94;-4.55;6.71;222.6;-0.08;-0.17;0.19;244.2;0.11;0.03;0.15;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-08;1.7;7.22;63.2;-3.4;-5.17;6.18;236.7;-0.08;-0.14;0.16;242.4;0.05;0.04;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-09;1.67;7.57;59.0;-2.73;-4.57;5.32;239.1;-0.04;-0.11;0.12;247.5;0.08;0.04;0.12;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-10;1.49;7.56;61.7;-1.19;-3.55;3.74;251.5;-0.03;-0.07;0.08;247.3;0.05;0.04;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-11;1.49;7.98;75.3;-1.46;-1.96;2.44;233.3;-0.06;-0.06;0.09;225.5;0.07;0.05;0.13;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-12;1.4;8.0;78.2;-1.73;-3.27;3.7;242.2;-0.03;-0.08;0.09;248.7;0.05;0.03;0.08;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-13;1.26;7.85;73.3;-2.01;-1.52;2.52;217.0;-0.08;-0.05;0.09;213.6;0.04;0.04;0.06;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
2015-01-14;1.55;7.96;70.2;-2.69;-4.09;4.89;236.7;-0.03;-0.11;0.12;255.0;0.06;0.05;0.08;Sobrevivencia Garantida;Dentro do Envelope ULS;Operacao Normal;Todas as Operacoes Seguras;Seguro;Seguro;Seguro;Seguro;Seguro;Segura
